"Zone","Post.Code","Destination.zone","State"
"Sydney","1400","Inter State Capital","NSW"
"Sydney","1401","Inter State Capital","NSW"
"Sydney","1402","Inter State Capital","NSW"
"Sydney","1403","Inter State Capital","NSW"
"Sydney","1404","Inter State Capital","NSW"
"Sydney","1405","Inter State Capital","NSW"
"Sydney","1406","Inter State Capital","NSW"
"Sydney","1407","Inter State Capital","NSW"
"Sydney","1408","Inter State Capital","NSW"
"Sydney","1409","Inter State Capital","NSW"
"Sydney","1410","Inter State Capital","NSW"
"Sydney","1411","Inter State Capital","NSW"
"Sydney","1412","Inter State Capital","NSW"
"Sydney","1413","Inter State Capital","NSW"
"Sydney","1414","Inter State Capital","NSW"
"Sydney","1415","Inter State Capital","NSW"
"Sydney","1416","Inter State Capital","NSW"
"Sydney","1417","Inter State Capital","NSW"
"Sydney","1418","Inter State Capital","NSW"
"Sydney","1419","Inter State Capital","NSW"
"Sydney","1420","Inter State Capital","NSW"
"Sydney","1421","Inter State Capital","NSW"
"Sydney","1422","Inter State Capital","NSW"
"Sydney","1423","Inter State Capital","NSW"
"Sydney","1424","Inter State Capital","NSW"
"Sydney","1425","Inter State Capital","NSW"
"Sydney","1426","Inter State Capital","NSW"
"Sydney","1427","Inter State Capital","NSW"
"Sydney","1428","Inter State Capital","NSW"
"Sydney","1429","Inter State Capital","NSW"
"Sydney","1430","Inter State Capital","NSW"
"Sydney","1431","Inter State Capital","NSW"
"Sydney","1432","Inter State Capital","NSW"
"Sydney","1433","Inter State Capital","NSW"
"Sydney","1434","Inter State Capital","NSW"
"Sydney","1435","Inter State Capital","NSW"
"Sydney","1436","Inter State Capital","NSW"
"Sydney","1437","Inter State Capital","NSW"
"Sydney","1438","Inter State Capital","NSW"
"Sydney","1439","Inter State Capital","NSW"
"Sydney","1440","Inter State Capital","NSW"
"Sydney","1441","Inter State Capital","NSW"
"Sydney","1442","Inter State Capital","NSW"
"Sydney","1443","Inter State Capital","NSW"
"Sydney","1444","Inter State Capital","NSW"
"Sydney","1445","Inter State Capital","NSW"
"Sydney","1446","Inter State Capital","NSW"
"Sydney","1447","Inter State Capital","NSW"
"Sydney","1448","Inter State Capital","NSW"
"Sydney","1449","Inter State Capital","NSW"
"Sydney","1450","Inter State Capital","NSW"
"Sydney","1451","Inter State Capital","NSW"
"Sydney","1452","Inter State Capital","NSW"
"Sydney","1453","Inter State Capital","NSW"
"Sydney","1454","Inter State Capital","NSW"
"Sydney","1455","Inter State Capital","NSW"
"Sydney","1456","Inter State Capital","NSW"
"Sydney","1457","Inter State Capital","NSW"
"Sydney","1458","Inter State Capital","NSW"
"Sydney","1459","Inter State Capital","NSW"
"Sydney","1460","Inter State Capital","NSW"
"Sydney","1461","Inter State Capital","NSW"
"Sydney","1462","Inter State Capital","NSW"
"Sydney","1463","Inter State Capital","NSW"
"Sydney","1464","Inter State Capital","NSW"
"Sydney","1465","Inter State Capital","NSW"
"Sydney","1466","Inter State Capital","NSW"
"Sydney","1467","Inter State Capital","NSW"
"Sydney","1468","Inter State Capital","NSW"
"Sydney","1469","Inter State Capital","NSW"
"Sydney","1470","Inter State Capital","NSW"
"Sydney","1471","Inter State Capital","NSW"
"Sydney","1472","Inter State Capital","NSW"
"Sydney","1473","Inter State Capital","NSW"
"Sydney","1474","Inter State Capital","NSW"
"Sydney","1475","Inter State Capital","NSW"
"Sydney","1476","Inter State Capital","NSW"
"Sydney","1477","Inter State Capital","NSW"
"Sydney","1478","Inter State Capital","NSW"
"Sydney","1479","Inter State Capital","NSW"
"Sydney","1480","Inter State Capital","NSW"
"Sydney","1481","Inter State Capital","NSW"
"Sydney","1482","Inter State Capital","NSW"
"Sydney","1483","Inter State Capital","NSW"
"Sydney","1484","Inter State Capital","NSW"
"Sydney","1485","Inter State Capital","NSW"
"Sydney","1486","Inter State Capital","NSW"
"Sydney","1487","Inter State Capital","NSW"
"Sydney","1488","Inter State Capital","NSW"
"Sydney","1489","Inter State Capital","NSW"
"Sydney","1490","Inter State Capital","NSW"
"Sydney","1491","Inter State Capital","NSW"
"Sydney","1492","Inter State Capital","NSW"
"Sydney","1493","Inter State Capital","NSW"
"Sydney","1494","Inter State Capital","NSW"
"Sydney","1495","Inter State Capital","NSW"
"Sydney","1496","Inter State Capital","NSW"
"Sydney","1497","Inter State Capital","NSW"
"Sydney","1498","Inter State Capital","NSW"
"Sydney","1499","Inter State Capital","NSW"
"Sydney","1500","Inter State Capital","NSW"
"Sydney","1501","Inter State Capital","NSW"
"Sydney","1502","Inter State Capital","NSW"
"Sydney","1503","Inter State Capital","NSW"
"Sydney","1504","Inter State Capital","NSW"
"Sydney","1505","Inter State Capital","NSW"
"Sydney","1506","Inter State Capital","NSW"
"Sydney","1507","Inter State Capital","NSW"
"Sydney","1508","Inter State Capital","NSW"
"Sydney","1509","Inter State Capital","NSW"
"Sydney","1510","Inter State Capital","NSW"
"Sydney","1511","Inter State Capital","NSW"
"Sydney","1512","Inter State Capital","NSW"
"Sydney","1513","Inter State Capital","NSW"
"Sydney","1514","Inter State Capital","NSW"
"Sydney","1515","Inter State Capital","NSW"
"Sydney","1516","Inter State Capital","NSW"
"Sydney","1517","Inter State Capital","NSW"
"Sydney","1518","Inter State Capital","NSW"
"Sydney","1519","Inter State Capital","NSW"
"Sydney","1520","Inter State Capital","NSW"
"Sydney","1521","Inter State Capital","NSW"
"Sydney","1522","Inter State Capital","NSW"
"Sydney","1523","Inter State Capital","NSW"
"Sydney","1524","Inter State Capital","NSW"
"Sydney","1525","Inter State Capital","NSW"
"Sydney","1526","Inter State Capital","NSW"
"Sydney","1527","Inter State Capital","NSW"
"Sydney","1528","Inter State Capital","NSW"
"Sydney","1529","Inter State Capital","NSW"
"Sydney","1530","Inter State Capital","NSW"
"Sydney","1531","Inter State Capital","NSW"
"Sydney","1532","Inter State Capital","NSW"
"Sydney","1533","Inter State Capital","NSW"
"Sydney","1534","Inter State Capital","NSW"
"Sydney","1535","Inter State Capital","NSW"
"Sydney","1536","Inter State Capital","NSW"
"Sydney","1537","Inter State Capital","NSW"
"Sydney","1538","Inter State Capital","NSW"
"Sydney","1539","Inter State Capital","NSW"
"Sydney","1540","Inter State Capital","NSW"
"Sydney","1541","Inter State Capital","NSW"
"Sydney","1542","Inter State Capital","NSW"
"Sydney","1543","Inter State Capital","NSW"
"Sydney","1544","Inter State Capital","NSW"
"Sydney","1545","Inter State Capital","NSW"
"Sydney","1546","Inter State Capital","NSW"
"Sydney","1547","Inter State Capital","NSW"
"Sydney","1548","Inter State Capital","NSW"
"Sydney","1549","Inter State Capital","NSW"
"Sydney","1550","Inter State Capital","NSW"
"Sydney","1551","Inter State Capital","NSW"
"Sydney","1552","Inter State Capital","NSW"
"Sydney","1553","Inter State Capital","NSW"
"Sydney","1554","Inter State Capital","NSW"
"Sydney","1555","Inter State Capital","NSW"
"Sydney","1556","Inter State Capital","NSW"
"Sydney","1557","Inter State Capital","NSW"
"Sydney","1558","Inter State Capital","NSW"
"Sydney","1559","Inter State Capital","NSW"
"Sydney","1560","Inter State Capital","NSW"
"Sydney","1561","Inter State Capital","NSW"
"Sydney","1562","Inter State Capital","NSW"
"Sydney","1563","Inter State Capital","NSW"
"Sydney","1564","Inter State Capital","NSW"
"Sydney","1565","Inter State Capital","NSW"
"Sydney","1566","Inter State Capital","NSW"
"Sydney","1567","Inter State Capital","NSW"
"Sydney","1568","Inter State Capital","NSW"
"Sydney","1569","Inter State Capital","NSW"
"Sydney","1570","Inter State Capital","NSW"
"Sydney","1571","Inter State Capital","NSW"
"Sydney","1572","Inter State Capital","NSW"
"Sydney","1573","Inter State Capital","NSW"
"Sydney","1574","Inter State Capital","NSW"
"Sydney","1575","Inter State Capital","NSW"
"Sydney","1576","Inter State Capital","NSW"
"Sydney","1577","Inter State Capital","NSW"
"Sydney","1578","Inter State Capital","NSW"
"Sydney","1579","Inter State Capital","NSW"
"Sydney","1580","Inter State Capital","NSW"
"Sydney","1581","Inter State Capital","NSW"
"Sydney","1582","Inter State Capital","NSW"
"Sydney","1583","Inter State Capital","NSW"
"Sydney","1584","Inter State Capital","NSW"
"Sydney","1585","Inter State Capital","NSW"
"Sydney","1586","Inter State Capital","NSW"
